,Sample #,date,Vol.(mls),Efficiency Vol.(ul),Concentration Factor
L1,LCMB 4,6/27/22,196,300,653.333
L2,G-PC 4,7/26/22,168,905,185.635
L3,LCMB 4,7/26/22,196,330,593.939
L4,G-PC 2,8/30/22,145,1100,131.818
L5,G-PC 4,8/30/22,197,280,703.571
L6,G-PC 2,9/26/22,198,460,430.435
L7,G-PC 4,9/26/22,199,290,686.207
